Simulation 230/1000 completed for Minimax. Moves: 496, Time: 1.02 s, Score: 7164
Simulation 231/1000 completed for Minimax. Moves: 151, Time: 0.40 s, Score: 1488
Simulation 232/1000 completed for Minimax. Moves: 371, Time: 0.76 s, Score: 5372
Simulation 233/1000 completed for Minimax. Moves: 213, Time: 0.57 s, Score: 2508
Simulation 234/1000 completed for Minimax. Moves: 499, Time: 0.94 s, Score: 7216
Simulation 235/1000 completed for Minimax. Moves: 243, Time: 0.57 s, Score: 2988
Simulation 236/1000 completed for Minimax. Moves: 380, Time: 0.86 s, Score: 5452
Simulation 237/1000 completed for Minimax. Moves: 290, Time: 0.60 s, Score: 3588
Simulation 238/1000 completed for Minimax. Moves: 299, Time: 0.70 s, Score: 3724
Simulation 239/1000 completed for Minimax. Moves: 272, Time: 0.69 s, Score: 3228
Simulation 240/1000 completed for Minimax. Moves: 268, Time: 0.61 s, Score: 3296
Simulation 241/1000 completed for Minimax. Moves: 267, Time: 0.68 s, Score: 3196
Simulation 242/1000 completed for Minimax. Moves: 390, Time: 0.87 s, Score: 5516
Simulation 243/1000 completed for Minimax. Moves: 245, Time: 0.59 s, Score: 2976
Simulation 244/1000 completed for Minimax. Moves: 463, Time: 1.05 s, Score: 6876
Simulation 245/1000 completed for Minimax. Moves: 523, Time: 0.97 s, Score: 7548
Simulation 246/1000 completed for Minimax. Moves: 495, Time: 1.14 s, Score: 7184
Simulation 247/1000 completed for Minimax. Moves: 437, Time: 0.96 s, Score: 6500
Simulation 248/1000 completed for Minimax. Moves: 437, Time: 0.92 s, Score: 6436
Simulation 249/1000 completed for Minimax. Moves: 225, Time: 0.58 s, Score: 2592
Simulation 250/1000 completed for Minimax. Moves: 240, Time: 0.60 s, Score: 2888
Simulation 251/1000 completed for Minimax. Moves: 138, Time: 0.39 s, Score: 1332
Simulation 252/1000 completed for Minimax. Moves: 270, Time: 0.63 s, Score: 3212
Simulation 253/1000 completed for Minimax. Moves: 474, Time: 1.06 s, Score: 6968
Simulation 254/1000 completed for Minimax. Moves: 262, Time: 0.57 s, Score: 3172
Simulation 255/1000 completed for Minimax. Moves: 200, Time: 0.53 s, Score: 2412
Simulation 256/1000 completed for Minimax. Moves: 414, Time: 0.92 s, Score: 5956
Simulation 257/1000 completed for Minimax. Moves: 337, Time: 0.79 s, Score: 4896
Simulation 258/1000 completed for Minimax. Moves: 387, Time: 0.81 s, Score: 5572
Simulation 259/1000 completed for Minimax. Moves: 569, Time: 1.07 s, Score: 8544
Simulation 260/1000 completed for Minimax. Moves: 428, Time: 1.01 s, Score: 6380
Simulation 261/1000 completed for Minimax. Moves: 262, Time: 0.52 s, Score: 3180
Simulation 262/1000 completed for Minimax. Moves: 265, Time: 0.62 s, Score: 3228
Simulation 263/1000 completed for Minimax. Moves: 141, Time: 0.40 s, Score: 1356
Simulation 264/1000 completed for Minimax. Moves: 431, Time: 0.94 s, Score: 6364
Simulation 265/1000 completed for Minimax. Moves: 695, Time: 1.27 s, Score: 11908
Simulation 266/1000 completed for Minimax. Moves: 372, Time: 0.86 s, Score: 5384
Simulation 267/1000 completed for Minimax. Moves: 177, Time: 0.44 s, Score: 1788
Simulation 268/1000 completed for Minimax. Moves: 255, Time: 0.60 s, Score: 3128
Simulation 269/1000 completed for Minimax. Moves: 263, Time: 0.56 s, Score: 3180
Simulation 270/1000 completed for Minimax. Moves: 382, Time: 0.79 s, Score: 5468
