Type	Score	Reason for death	Moves	Snake Length	Turns
 A* 	0	 Hit the wall	12	1	13
 A* 	83	 No path found	1428	84	276
 A* 	60	 No path found	1070	61	147
 A* 	32	 No path found	573	33	78
 A* 	57	 No path found	1084	58	158
 A* 	51	 No path found	930	52	146
 A* 	83	 No path found	1529	84	242
 A* 	52	 No path found	934	53	147
 A* 	0	 Hit the wall	12	1	13
 A* 	68	 No path found	1225	69	198
 A* 	53	 No path found	976	54	152
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	102	 No path found	1774	103	285
 A* 	15	 No path found	278	16	32
 A* 	59	 No path found	947	60	152
 A* 	46	 No path found	707	47	120
 A* 	77	 No path found	1386	78	230
 A* 	55	 No path found	1062	56	150
 A* 	77	 No path found	1295	78	220
 A* 	64	 No path found	1082	65	191
 A* 	0	 Hit the wall	12	1	13
 A* 	89	 No path found	1679	90	281
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	22	 No path found	386	23	59
 A* 	67	 No path found	1166	68	173
 A* 	45	 No path found	774	46	132
 A* 	76	 No path found	1286	77	201
 A* 	62	 No path found	1085	63	167
 A* 	0	 Hit the wall	12	1	13
 A* 	73	 No path found	1331	74	199
 A* 	78	 No path found	1268	79	211
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	36	 No path found	580	37	79
 A* 	0	 Hit the wall	12	1	13
 A* 	67	 No path found	1221	68	171
 A* 	53	 No path found	905	54	158
 A* 	91	 No path found	1784	92	268
 A* 	96	 No path found	1825	97	285
 A* 	42	 No path found	747	43	104
 A* 	66	 No path found	1144	67	185
 A* 	63	 No path found	1190	64	219
 A* 	0	 Hit the wall	12	1	13
 A* 	51	 No path found	976	52	146
 A* 	44	 No path found	761	45	102
 A* 	68	 No path found	1238	69	182
 A* 	85	 No path found	1649	86	234
 A* 	47	 No path found	831	48	110
 A* 	97	 No path found	1968	98	322
 A* 	40	 No path found	712	41	105
 A* 	45	 No path found	811	46	114
 A* 	61	 No path found	1068	62	172
 A* 	38	 No path found	627	39	104
 A* 	77	 No path found	1458	78	232
 A* 	65	 No path found	1246	66	176
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	38	 No path found	571	39	102
 A* 	65	 No path found	1168	66	180
 A* 	57	 No path found	998	58	142
 A* 	0	 Hit the wall	12	1	13
 A* 	29	 No path found	542	30	62
 A* 	55	 No path found	954	56	152
 A* 	73	 No path found	1438	74	226
 A* 	71	 No path found	1251	72	196
 A* 	86	 No path found	1752	87	249
 A* 	51	 No path found	935	52	154
 A* 	0	 Hit the wall	12	1	13
 A* 	49	 No path found	797	50	120
 A* 	65	 No path found	1113	66	177
 A* 	40	 No path found	709	41	100
 A* 	40	 No path found	791	41	105
 A* 	55	 No path found	901	56	152
 A* 	40	 No path found	592	41	100
 A* 	48	 No path found	914	49	142
 A* 	27	 No path found	419	28	69
 A* 	57	 No path found	1127	58	146
 A* 	87	 No path found	1727	88	270
 A* 	74	 No path found	1351	75	202
 A* 	47	 No path found	825	48	119
 A* 	50	 No path found	979	51	161
 A* 	55	 No path found	999	56	136
 A* 	87	 No path found	1802	88	260
 A* 	74	 No path found	1418	75	245
 A* 	0	 Hit the wall	12	1	13
 A* 	75	 No path found	1319	76	220
 A* 	56	 No path found	977	57	165
 A* 	0	 Hit the wall	12	1	13
 A* 	86	 No path found	1537	87	240
 A* 	68	 No path found	1255	69	191
 A* 	29	 No path found	450	30	76
 A* 	0	 Hit the wall	12	1	13
 A* 	55	 No path found	929	56	151
 A* 	66	 No path found	1039	67	174
 A* 	0	 Hit the wall	12	1	13
 A* 	56	 No path found	998	57	156
 A* 	68	 No path found	1182	69	184
 A* 	61	 No path found	953	62	176
 A* 	87	 No path found	1687	88	252
 A* 	83	 No path found	1689	84	274
 A* 	73	 No path found	1231	74	203
 A* 	0	 Hit the wall	12	1	13
 A* 	33	 No path found	580	34	83
 A* 	63	 No path found	1347	64	191
 A* 	0	 Hit the wall	12	1	13
 A* 	44	 No path found	709	45	117
 A* 	75	 No path found	1335	76	195
 A* 	76	 No path found	1411	77	200
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	75	 No path found	1398	76	206
 A* 	76	 No path found	1317	77	226
 A* 	46	 No path found	841	47	124
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	81	 No path found	1423	82	220
 A* 	0	 Hit the wall	12	1	13
 A* 	55	 No path found	916	56	128
 A* 	69	 No path found	1130	70	205
 A* 	42	 No path found	774	43	111
 A* 	76	 No path found	1223	77	198
 A* 	63	 No path found	1191	64	173
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	44	 No path found	762	45	121
 BFS 	50	 No path found	951	51	138
 BFS 	61	 No path found	1109	62	154
 BFS 	48	 No path found	782	49	102
 BFS 	71	 No path found	1442	72	178
 BFS 	46	 No path found	759	47	104
 BFS 	66	 No path found	1244	67	152
 BFS 	50	 No path found	849	51	116
 BFS 	0	 Hit the wall	12	1	13
 BFS 	45	 No path found	807	46	104
 BFS 	50	 No path found	952	51	131
 BFS 	57	 No path found	1070	58	136
 BFS 	57	 No path found	978	58	132
 BFS 	64	 No path found	1151	65	156
 BFS 	23	 No path found	412	24	50
 BFS 	59	 No path found	1054	60	142
 BFS 	52	 No path found	937	53	123
 BFS 	67	 No path found	1345	68	162
 BFS 	68	 No path found	1239	69	156
 BFS 	68	 No path found	1232	69	174
 BFS 	58	 No path found	1037	59	135
 BFS 	63	 No path found	1176	64	164
 BFS 	34	 No path found	635	35	72
 BFS 	40	 No path found	705	41	90
 BFS 	54	 No path found	826	55	124
 BFS 	75	 No path found	1578	76	210
 BFS 	55	 No path found	987	56	134
 BFS 	69	 No path found	1181	70	172
 BFS 	44	 No path found	773	45	92
 BFS 	69	 No path found	1380	70	188
 BFS 	34	 No path found	577	35	74
 BFS 	69	 No path found	1220	70	196
 BFS 	70	 No path found	1248	71	176
 BFS 	58	 No path found	912	59	136
 BFS 	46	 No path found	809	47	106
 BFS 	53	 No path found	906	54	125
 BFS 	46	 No path found	797	47	108
 BFS 	90	 No path found	1702	91	224
 BFS 	63	 No path found	1144	64	162
 BFS 	71	 No path found	1431	72	174
 BFS 	65	 No path found	1059	66	160
 BFS 	43	 No path found	723	44	96
 BFS 	67	 No path found	1207	68	164
 BFS 	31	 No path found	436	32	64
 BFS 	62	 No path found	1195	63	154
 BFS 	82	 No path found	1612	83	204
 BFS 	0	 Hit the wall	12	1	13
 BFS 	80	 No path found	1440	81	218
 BFS 	68	 No path found	1320	69	158
 BFS 	60	 No path found	1086	61	142
 BFS 	62	 No path found	1106	63	161
 BFS 	93	 No path found	1596	94	236
 BFS 	83	 No path found	1721	84	224
 BFS 	67	 No path found	1272	68	161
 BFS 	35	 No path found	631	36	81
 BFS 	49	 No path found	779	50	108
 BFS 	51	 No path found	886	52	116
 BFS 	82	 No path found	1477	83	204
 BFS 	83	 No path found	1885	84	226
 BFS 	80	 No path found	1575	81	200
 BFS 	60	 No path found	1136	61	150
 BFS 	75	 No path found	1375	76	196
 BFS 	0	 Hit the wall	12	1	13
 BFS 	81	 No path found	1426	82	212
 BFS 	67	 No path found	1311	68	166
 BFS 	92	 No path found	1888	93	250
 BFS 	53	 No path found	1014	54	118
 BFS 	95	 No path found	1705	96	256
 BFS 	67	 No path found	1275	68	170
 BFS 	77	 No path found	1344	78	188
 BFS 	84	 No path found	1495	85	220
 BFS 	73	 No path found	1343	74	196
 BFS 	62	 No path found	973	63	142
 BFS 	94	 No path found	1846	95	246
 BFS 	79	 No path found	1498	80	192
 BFS 	76	 No path found	1334	77	210
 BFS 	46	 No path found	789	47	106
 BFS 	71	 No path found	1408	72	174
 BFS 	73	 No path found	1369	74	192
 BFS 	57	 No path found	937	58	132
 BFS 	50	 No path found	857	51	119
 BFS 	63	 No path found	1217	64	162
 BFS 	0	 Hit the wall	12	1	13
 BFS 	81	 No path found	1517	82	220
 BFS 	50	 No path found	933	51	112
 BFS 	66	 No path found	1166	67	158
 BFS 	42	 No path found	677	43	96
 BFS 	57	 No path found	979	58	136
 BFS 	58	 No path found	1034	59	144
 BFS 	78	 No path found	1491	79	212
 BFS 	94	 No path found	1772	95	238
 BFS 	91	 No path found	1805	92	244
 BFS 	46	 No path found	778	47	100
 BFS 	62	 No path found	1081	63	146
 BFS 	69	 No path found	1257	70	188
 BFS 	67	 No path found	1204	68	157
 BFS 	73	 No path found	1322	74	186
 BFS 	60	 No path found	1084	61	138
 BFS 	65	 No path found	1167	66	158
 BFS 	74	 No path found	1264	75	189
 BFS 	65	 No path found	1161	66	150
 BFS 	74	 No path found	1373	75	192
 BFS 	67	 No path found	1132	68	170
 BFS 	42	 No path found	807	43	84
 BFS 	58	 No path found	1038	59	143
 BFS 	66	 No path found	1294	67	160
 BFS 	58	 No path found	1084	59	130
 BFS 	40	 No path found	687	41	86
 BFS 	57	 No path found	1022	58	127
 BFS 	63	 No path found	1137	64	152
 BFS 	73	 No path found	1257	74	189
 BFS 	66	 No path found	1080	67	160
 BFS 	57	 No path found	1002	58	146
 BFS 	34	 No path found	544	35	73
 BFS 	64	 No path found	1168	65	158
 BFS 	53	 No path found	905	54	119
 BFS 	84	 No path found	1362	85	214
 BFS 	85	 No path found	1537	86	218
 BFS 	80	 No path found	1607	81	206
 BFS 	28	 No path found	557	29	58
 BFS 	66	 No path found	1279	67	168
 BFS 	61	 No path found	1276	62	142
 BFS 	39	 No path found	681	40	86
 BFS 	55	 No path found	961	56	124
 BFS 	36	 No path found	594	37	80
 BFS 	71	 No path found	1303	72	196
 BFS 	52	 No path found	812	53	118
 BFS 	35	 No path found	614	36	76
 BFS 	51	 No path found	899	52	116
 BFS 	46	 No path found	808	47	108
 BFS 	37	 No path found	601	38	82
 BFS 	69	 No path found	1181	70	160
 BFS 	38	 No path found	699	39	80
 BFS 	97	 No path found	1942	98	266
 BFS 	51	 No path found	1006	52	122
 BFS 	43	 No path found	802	44	92
 BFS 	58	 No path found	970	59	154
 BFS 	44	 No path found	816	45	104
 BFS 	0	 Hit the wall	12	1	13
 BFS 	31	 No path found	484	32	68
 BFS 	38	 No path found	585	39	96
 BFS 	56	 No path found	901	57	130
 BFS 	69	 No path found	1317	70	168
 BFS 	87	 No path found	1749	88	214
 BFS 	66	 No path found	1261	67	152
 BFS 	69	 No path found	1236	70	162
 BFS 	85	 No path found	1529	86	224
 BFS 	64	 No path found	1106	65	170
 BFS 	45	 No path found	769	46	106
 BFS 	54	 No path found	1009	55	130
 BFS 	30	 No path found	429	31	62
 BFS 	59	 No path found	1058	60	140
 BFS 	85	 No path found	1628	86	218
 BFS 	74	 No path found	1355	75	170
 BFS 	82	 No path found	1611	83	210
 BFS 	66	 No path found	1177	67	153
 BFS 	40	 No path found	719	41	88
 BFS 	50	 No path found	897	51	130
 BFS 	73	 No path found	1339	74	194
 BFS 	67	 No path found	1139	68	160
 BFS 	97	 No path found	1710	98	258
 BFS 	61	 No path found	1009	62	146
 BFS 	76	 No path found	1309	77	192
 BFS 	42	 No path found	748	43	100
 BFS 	46	 No path found	671	47	100
 BFS 	77	 No path found	1383	78	196
 BFS 	72	 No path found	1358	73	188
 BFS 	35	 No path found	626	36	72
 BFS 	61	 No path found	998	62	146
 BFS 	72	 No path found	1266	73	204
 BFS 	58	 No path found	1056	59	138
 BFS 	66	 No path found	1208	67	152
 BFS 	56	 No path found	935	57	134
 BFS 	39	 No path found	654	40	94
 BFS 	60	 No path found	1080	61	146
 BFS 	60	 No path found	1159	61	146
 BFS 	82	 No path found	1572	83	214
 BFS 	80	 No path found	1520	81	200
 BFS 	74	 No path found	1316	75	168
 BFS 	64	 No path found	1252	65	162
 BFS 	93	 No path found	1810	94	246
 BFS 	45	 No path found	719	46	102
 BFS 	53	 No path found	924	54	126
 BFS 	45	 No path found	878	46	100
 BFS 	78	 No path found	1470	79	207
 BFS 	40	 No path found	702	41	96
 BFS 	45	 No path found	848	46	101
 BFS 	76	 No path found	1293	77	202
 BFS 	48	 No path found	751	49	114
 BFS 	70	 No path found	1279	71	170
 BFS 	52	 No path found	840	53	116
 BFS 	64	 No path found	1137	65	164
 BFS 	68	 No path found	1315	69	166
 BFS 	72	 No path found	1354	73	182
 BFS 	36	 No path found	587	37	82
 BFS 	83	 No path found	1681	84	216
 BFS 	75	 No path found	1404	76	194
 BFS 	55	 No path found	1054	56	124
 BFS 	60	 No path found	1048	61	136
 BFS 	57	 No path found	1013	58	134
 BFS 	36	 No path found	757	37	80
 BFS 	56	 No path found	1015	57	139
 BFS 	62	 No path found	1170	63	162
 BFS 	0	 Hit the wall	12	1	13
 BFS 	77	 No path found	1533	78	182
 BFS 	69	 No path found	1119	70	176
 BFS 	59	 No path found	1040	60	152
 BFS 	85	 No path found	1522	86	206
 BFS 	52	 No path found	885	53	127
 BFS 	56	 No path found	923	57	124
 BFS 	46	 No path found	804	47	112
 BFS 	57	 No path found	955	58	133
 BFS 	67	 No path found	1275	68	182
 BFS 	71	 No path found	1353	72	166
 BFS 	58	 No path found	1084	59	134
 BFS 	58	 No path found	1015	59	146
 BFS 	59	 No path found	1066	60	156
 BFS 	56	 No path found	1006	57	130
 BFS 	113	 No path found	2432	114	318
 BFS 	39	 No path found	670	40	88
 BFS 	38	 No path found	605	39	82
 BFS 	63	 No path found	1217	64	150
 BFS 	79	 No path found	1371	80	192
 BFS 	87	 No path found	1740	88	229
 BFS 	70	 No path found	1328	71	184
 BFS 	75	 No path found	1372	76	185
 BFS 	63	 No path found	1056	64	154
 BFS 	67	 No path found	1222	68	158
 BFS 	50	 No path found	859	51	110
 BFS 	82	 No path found	1612	83	196
 BFS 	70	 No path found	1254	71	170
 BFS 	69	 No path found	1287	70	170
 BFS 	92	 No path found	1698	93	230
 BFS 	69	 No path found	1236	70	194
 BFS 	35	 No path found	533	36	74
 BFS 	95	 No path found	1799	96	234
 BFS 	80	 No path found	1595	81	208
 BFS 	96	 No path found	1719	97	244
 BFS 	72	 No path found	1260	73	188
 BFS 	70	 No path found	1076	71	168
 BFS 	58	 No path found	940	59	140
 BFS 	79	 No path found	1508	80	210
 BFS 	41	 No path found	723	42	80
 BFS 	56	 No path found	1022	57	136
 BFS 	35	 No path found	588	36	76
 BFS 	26	 No path found	326	27	53
 BFS 	54	 No path found	996	55	115
 BFS 	37	 No path found	564	38	78
 BFS 	54	 No path found	1087	55	134
 BFS 	67	 No path found	1157	68	162
 BFS 	73	 No path found	1464	74	192
 BFS 	66	 No path found	1181	67	167
 BFS 	50	 No path found	966	51	117
 BFS 	98	 No path found	1803	99	254
 BFS 	65	 No path found	1127	66	150
 BFS 	36	 No path found	609	37	74
 BFS 	42	 No path found	765	43	92
 BFS 	74	 No path found	1335	75	198
 BFS 	35	 No path found	530	36	79
 BFS 	62	 No path found	1204	63	155
 BFS 	84	 No path found	1596	85	202
 BFS 	53	 No path found	957	54	120
 BFS 	60	 No path found	1063	61	140
 BFS 	47	 No path found	826	48	102
 BFS 	85	 No path found	1451	86	214
 BFS 	57	 No path found	946	58	144
 BFS 	59	 No path found	1012	60	138
 BFS 	95	 No path found	1669	96	251
 BFS 	91	 No path found	1722	92	224
 BFS 	84	 No path found	1740	85	240
 BFS 	44	 No path found	746	45	88
 BFS 	77	 No path found	1369	78	200
 BFS 	45	 No path found	784	46	91
 BFS 	71	 No path found	1345	72	184
 BFS 	98	 No path found	1932	99	254
 BFS 	40	 No path found	693	41	90
 BFS 	49	 No path found	837	50	116
 BFS 	51	 No path found	811	52	130
 BFS 	58	 No path found	1052	59	130
 BFS 	62	 No path found	1133	63	144
 BFS 	55	 No path found	1043	56	132
 BFS 	79	 No path found	1326	80	206
 BFS 	75	 No path found	1365	76	182
 BFS 	59	 No path found	1028	60	156
 BFS 	19	 No path found	350	20	38
