Type	Score	Reason for death	Moves	Snake Length	Turns
 BFS 	74	 No path found	1255	75	186
 BFS 	47	 No path found	894	48	106
 BFS 	61	 No path found	1077	62	145
 BFS 	49	 No path found	813	50	110
 BFS 	61	 No path found	1022	62	170
 BFS 	46	 No path found	902	47	104
 BFS 	46	 No path found	827	47	102
 BFS 	65	 No path found	1044	66	159
 BFS 	46	 No path found	874	47	104
 BFS 	49	 No path found	807	50	116
 BFS 	57	 No path found	1111	58	142
 BFS 	78	 No path found	1531	79	206
 BFS 	81	 No path found	1618	82	214
 BFS 	42	 No path found	718	43	86
 BFS 	44	 No path found	729	45	96
 BFS 	71	 No path found	1312	72	204
 BFS 	59	 No path found	999	60	128
 BFS 	65	 No path found	1199	66	167
 BFS 	35	 No path found	674	36	74
 BFS 	51	 No path found	828	52	114
 BFS 	63	 No path found	1263	64	158
 BFS 	95	 No path found	1918	96	228
 BFS 	30	 No path found	576	31	68
 BFS 	43	 No path found	625	44	90
 BFS 	55	 No path found	956	56	148
 BFS 	61	 No path found	1061	62	134
 BFS 	66	 No path found	1091	67	161
 BFS 	39	 No path found	672	40	94
 BFS 	81	 No path found	1372	82	194
 BFS 	59	 No path found	1141	60	144
 BFS 	72	 No path found	1259	73	182
 BFS 	52	 No path found	789	53	133
 BFS 	66	 No path found	1142	67	164
 BFS 	49	 No path found	924	50	108
 BFS 	64	 No path found	1071	65	164
 BFS 	54	 No path found	956	55	134
 BFS 	59	 No path found	953	60	130
 BFS 	67	 No path found	1266	68	160
 BFS 	95	 No path found	1922	96	242
 BFS 	54	 No path found	973	55	136
 BFS 	40	 No path found	741	41	84
 BFS 	54	 No path found	946	55	128
 BFS 	51	 No path found	933	52	128
 BFS 	23	 No path found	360	24	48
 BFS 	83	 No path found	1561	84	224
 BFS 	69	 No path found	1173	70	160
 BFS 	62	 No path found	1292	63	158
 BFS 	72	 No path found	1393	73	182
 BFS 	42	 No path found	679	43	92
 BFS 	59	 No path found	890	60	132
 BFS 	86	 No path found	1660	87	239
 BFS 	56	 No path found	900	57	136
 BFS 	57	 No path found	1078	58	136
 BFS 	36	 No path found	515	37	86
 BFS 	84	 No path found	1586	85	218
 BFS 	41	 No path found	682	42	90
 BFS 	75	 No path found	1453	76	180
 BFS 	65	 No path found	1092	66	152
 BFS 	54	 No path found	1021	55	132
 BFS 	47	 No path found	770	48	114
 BFS 	74	 No path found	1331	75	178
 BFS 	52	 No path found	825	53	114
 BFS 	71	 No path found	1338	72	172
 BFS 	40	 No path found	660	41	92
 BFS 	62	 No path found	1130	63	142
 BFS 	43	 No path found	795	44	98
 BFS 	85	 No path found	1640	86	232
 BFS 	72	 No path found	1396	73	174
 BFS 	43	 No path found	724	44	96
 BFS 	92	 No path found	1768	93	266
 BFS 	49	 No path found	787	50	100
 BFS 	68	 No path found	1238	69	164
 BFS 	75	 No path found	1290	76	210
 BFS 	72	 No path found	1276	73	176
 BFS 	69	 No path found	1077	70	160
 BFS 	30	 No path found	498	31	66
 BFS 	39	 No path found	664	40	82
 BFS 	81	 No path found	1348	82	194
 BFS 	46	 No path found	798	47	104
 BFS 	40	 No path found	702	41	86
 BFS 	69	 No path found	1284	70	178
 BFS 	0	 Hit the wall	12	1	13
 BFS 	58	 No path found	996	59	128
 BFS 	0	 Hit the wall	12	1	13
 BFS 	71	 No path found	1284	72	169
 BFS 	0	 Hit the wall	12	1	13
 BFS 	65	 No path found	1221	66	158
 BFS 	92	 No path found	1655	93	235
 BFS 	67	 No path found	1234	68	172
 BFS 	36	 No path found	602	37	86
 BFS 	55	 No path found	963	56	122
 BFS 	53	 No path found	937	54	106
 BFS 	77	 No path found	1350	78	188
 BFS 	59	 No path found	918	60	144
 BFS 	72	 No path found	1201	73	174
 BFS 	94	 No path found	1787	95	242
 BFS 	49	 No path found	854	50	124
 BFS 	83	 No path found	1448	84	220
 BFS 	50	 No path found	798	51	106
 BFS 	62	 No path found	1232	63	152
 BFS 	41	 No path found	762	42	98
 BFS 	62	 No path found	1139	63	164
 BFS 	81	 No path found	1427	82	196
 BFS 	47	 No path found	832	48	110
 BFS 	42	 No path found	763	43	94
 BFS 	54	 No path found	936	55	122
 BFS 	61	 No path found	1161	62	136
 BFS 	63	 No path found	1245	64	168
 BFS 	38	 No path found	651	39	82
 BFS 	54	 No path found	901	55	108
 BFS 	80	 No path found	1623	81	210
 BFS 	68	 No path found	1304	69	168
 BFS 	59	 No path found	1045	60	151
 BFS 	41	 No path found	729	42	84
 BFS 	84	 No path found	1558	85	194
 BFS 	39	 No path found	776	40	84
 BFS 	66	 No path found	1285	67	158
 BFS 	62	 No path found	1101	63	142
 BFS 	51	 No path found	940	52	120
 BFS 	48	 No path found	829	49	110
 BFS 	40	 No path found	644	41	92
 BFS 	87	 No path found	1621	88	234
 BFS 	68	 No path found	1332	69	167
 BFS 	77	 No path found	1384	78	196
 BFS 	87	 No path found	1788	88	228
 BFS 	73	 No path found	1455	74	174
 BFS 	69	 No path found	1266	70	172
 BFS 	51	 No path found	893	52	108
 BFS 	57	 No path found	1063	58	132
 BFS 	47	 No path found	945	48	108
 BFS 	67	 No path found	1133	68	146
 BFS 	55	 No path found	871	56	144
 BFS 	47	 No path found	734	48	114
 BFS 	71	 No path found	1210	72	175
 BFS 	61	 No path found	1116	62	140
 BFS 	84	 No path found	1495	85	207
 BFS 	44	 No path found	768	45	90
 BFS 	81	 No path found	1479	82	198
 BFS 	72	 No path found	1311	73	182
 BFS 	69	 No path found	1288	70	176
 BFS 	77	 No path found	1428	78	196
 BFS 	79	 No path found	1491	80	198
 BFS 	54	 No path found	1033	55	118
 BFS 	62	 No path found	1155	63	154
 BFS 	79	 No path found	1466	80	192
 BFS 	57	 No path found	1097	58	138
 BFS 	66	 No path found	1346	67	158
 BFS 	36	 No path found	556	37	84
 BFS 	66	 No path found	1168	67	172
 BFS 	88	 No path found	1815	89	232
 BFS 	66	 No path found	1386	67	168
 BFS 	68	 No path found	1172	69	170
 BFS 	54	 No path found	1104	55	140
 BFS 	72	 No path found	1358	73	188
 BFS 	45	 No path found	806	46	90
 BFS 	42	 No path found	712	43	88
 BFS 	71	 No path found	1307	72	174
 BFS 	54	 No path found	1000	55	132
 BFS 	0	 Hit the wall	12	1	13
 BFS 	40	 No path found	754	41	86
 BFS 	41	 No path found	617	42	96
 BFS 	70	 No path found	1341	71	170
 BFS 	60	 No path found	1043	61	142
 BFS 	72	 No path found	1363	73	174
 BFS 	40	 No path found	638	41	94
 BFS 	57	 No path found	974	58	144
 BFS 	41	 No path found	699	42	104
 BFS 	52	 No path found	970	53	120
 BFS 	78	 No path found	1322	79	186
 BFS 	29	 No path found	415	30	58
 BFS 	43	 No path found	815	44	96
 BFS 	65	 No path found	1145	66	162
 BFS 	87	 No path found	1625	88	220
 BFS 	41	 No path found	776	42	98
 BFS 	65	 No path found	1102	66	162
 BFS 	51	 No path found	861	52	114
 BFS 	81	 No path found	1541	82	189
 BFS 	102	 No path found	2053	103	292
 BFS 	48	 No path found	808	49	110
 BFS 	54	 No path found	924	55	124
 BFS 	52	 No path found	923	53	114
 BFS 	70	 No path found	1348	71	178
 BFS 	64	 No path found	1090	65	154
 BFS 	79	 No path found	1325	80	206
 BFS 	44	 No path found	711	45	106
 BFS 	71	 No path found	1162	72	170
 BFS 	83	 No path found	1506	84	208
 BFS 	43	 No path found	747	44	100
 BFS 	58	 No path found	1121	59	122
 BFS 	59	 No path found	1096	60	154
 BFS 	81	 No path found	1569	82	206
 BFS 	71	 No path found	1262	72	176
 BFS 	66	 No path found	1275	67	164
 BFS 	56	 No path found	887	57	124
 BFS 	50	 No path found	814	51	110
 BFS 	88	 No path found	1553	89	222
 BFS 	43	 No path found	702	44	96
 BFS 	80	 No path found	1407	81	199
 BFS 	65	 No path found	1245	66	164
 BFS 	92	 No path found	1941	93	271
 BFS 	92	 No path found	2003	93	246
 BFS 	95	 No path found	1841	96	264
 BFS 	74	 No path found	1497	75	178
 BFS 	71	 No path found	1369	72	184
 BFS 	40	 No path found	687	41	88
 BFS 	25	 No path found	319	26	54
 BFS 	48	 No path found	915	49	118
 BFS 	52	 No path found	875	53	116
 BFS 	78	 No path found	1497	79	206
 BFS 	0	 Hit the wall	12	1	13
 BFS 	70	 No path found	1196	71	168
 BFS 	91	 No path found	1789	92	232
 BFS 	73	 No path found	1387	74	174
 BFS 	73	 No path found	1289	74	198
 BFS 	43	 No path found	777	44	94
 BFS 	73	 No path found	1299	74	170
 BFS 	78	 No path found	1586	79	196
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	2	 Snake goes in circles	630	3	50
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
 DFS 	0	 Snake goes in circles	1	1	0
